48,-104.8,-27.18,79.69,22.72,4.894,-2.711
49,-104.5,-44.24,90.6,5.639,15.76,-2.361
50,-104.1,-59.81,100.9,-9.887,25.62,-2.027
51,-103.6,-73.99,110.6,-23.98,34.5,-1.718
52,-103,-86.7,118.9,-36.57,41.83,-1.454
53,-102.3,-97.58,124.8,-47.29,46.65,-1.273
54,-101.6,-106.1,127.8,-55.59,48.37,-1.211
55,-100.8,-111.5,128.2,-60.71,46.97,-1.288
56,-99.81,-113,125.9,-61.91,42.59,-1.449
57,-98.77,-110.3,121.1,-58.81,35.55,-1.573
58,-97.7,-103.4,114.1,-51.49,26.26,-1.604
59,-96.67,-92.65,104.9,-40.4,15.05,-1.587
60,-95.73,-78.82,93.83,-26.26,2.206,-1.587
61,-94.89,-62.88,81.12,-10.08,-11.99,-1.655
62,-94.17,-45.99,67.34,6.971,-26.97,-1.809
63,-93.58,-29.17,53.32,23.87,-41.84,-2.021
64,-93.12,-13.09,39.78,39.93,-55.75,-2.235
65,-92.81,1.851,27.01,54.77,-68.35,-2.416
66,-92.63,15.53,14.97,68.25,-79.74,-2.576
67,-92.55,27.94,3.701,80.4,-90,-2.735
68,-92.55,39.01,-6.446,91.17,-98.95,-2.913
69,-92.6,48.54,-14.83,100.3,-106,-3.137
70,-92.71,56.23,-20.77,107.6,-110.4,-3.418
71,-92.89,61.82,-23.71,112.8,-111.6,-3.732
72,-93.14,65.21,-23.27,115.7,-109,-4.029
73,-93.47,66.37,-19.34,116.2,-102.6,-4.246
74,-93.85,65.2,-12.27,114.5,-92.97,-4.322
75,-94.26,61.38,-2.561,110,-80.7,-4.226
76,-94.66,54.72,9.348,102.8,-66.39,-3.959
77,-95.02,45.6,23.04,93.13,-50.48,-3.538
78,-95.3,34.86,38.1,81.93,-33.41,-3.002
79,-95.49,23.53,54.1,70.2,-15.67,-2.41
80,-95.58,12.47,70.5,58.83,2.094,-1.815
81,-95.54,2.154,86.65,48.3,19.17,-1.242
82,-95.37,-7.323,101.9,38.69,34.9,-0.6855
83,-95.1,-15.97,115.9,29.98,48.99,-0.1264
84,-94.72,-23.54,128.6,22.4,61.58,0.4561
85,-94.27,-29.56,140.3,16.41,72.95,1.082
86,-93.76,-33.59,150.9,12.45,82.98,1.76
87,-93.18,-35.25,159.9,10.9,91.2,2.495
88,-92.52,-34.19,166.7,12.12,96.99,3.289
89,-91.8,-30.18,170.8,16.32,99.83,4.151
90,-91,-23.28,171.9,23.45,99.47,5.081
91,-90.14,-13.84,170.1,33.15,96.05,6.057
92,-89.26,-2.407,165.4,44.85,89.89,7.028
93,-88.37,10.4,158.4,57.9,81.44,7.939
94,-87.52,24.05,149.6,71.77,71.27,8.762
95,-86.75,38.11,139.4,86.01,59.87,9.518
96,-86.06,52.19,128.2,100.2,47.74,10.25
97,-85.5,65.98,116.7,114,35.56,10.99
98,-85.05,79.3,105.4,127.3,24.11,11.73
99,-84.71,91.99,94.9,139.9,13.91,12.45
100,-84.46,103.8,85.57,151.5,5.166,13.14
101,-84.29,114.3,77.52,161.8,-2.091,13.79
102,-84.19,123.2,70.69,170.5,-7.978,14.43
103,-84.15,130.2,64.99,177.1,-12.56,15.09
104,-84.17,135,60.62,181.6,-15.56,15.8
105,-84.25,137.2,58.11,183.4,-16.44,16.55
106,-84.38,136.8,57.91,182.5,-14.77,17.34
107,-84.55,133.3,60.14,178.6,-10.53,18.16
108,-84.75,126.9,64.58,171.7,-4.038,18.98
109,-84.98,117.6,70.74,162,4.173,19.77
110,-85.2,106.2,78.11,150,13.57,20.53
111,-85.4,93.33,86.27,136.7,23.69,21.24
112,-85.56,79.82,94.91,122.7,34.16,21.93
113,-85.65,66.26,103.8,108.8,44.58,22.6
114,-85.64,52.97,112.6,95.24,54.61,23.28
115,-85.53,40.12,121.1,82.19,64,23.98
116,-85.33,27.95,129.1,69.87,72.49,24.71
117,-85.04,16.78,136.1,58.61,79.81,25.47
118,-84.69,6.91,141.9,48.68,85.74,26.23
119,-84.27,-1.431,146.3,40.33,90.08,26.98
120,-83.79,-8.113,149.1,33.68,92.56,27.7
121,-83.24,-13.05,150,28.81,92.9,28.39
122,-82.63,-16.13,148.7,25.83,90.82,29.06
123,-81.97,-17.27,144.9,24.83,86.13,29.68
124,-81.27,-16.42,138.5,25.83,78.73,30.22
125,-80.53,-13.65,129.6,28.78,68.84,30.67
126,-79.76,-9.025,118.9,33.57,57.05,31
127,-78.98,-2.769,107.1,40,44.11,31.23
128,-78.22,4.771,94.78,47.7,30.74,31.37
129,-77.49,13.13,82.44,56.18,17.46,31.45
130,-76.84,21.82,70.23,64.93,4.559,31.49
