it,2,8,9,4,10,11,5,12,13,7,14,15
20,-5.567,-25.43,33.31,30.53,-32.51,44.85,-28.41,-28.95,12.72,13.32,20.71,26.21
21,-3.06,-7.778,33.61,31.86,3.207,4.556,-8.725,5.719,-37.39,-35.63,-21.51,25.29
22,-0.4711,20.6,23.95,23.11,22.96,-31.72,21.19,25,-70.47,-69.53,-58.24,19.39
23,1.887,33.61,4.078,4.213,28.88,-44.07,36.12,31.45,-73.72,-75.16,-68.75,11.65
24,4.092,17.54,-0.387,0.6599,24.96,-27.05,21.94,28.61,-47.45,-51.04,-48.96,5.443
25,6.394,-7.139,6.605,8.412,-1.111,6.858,-1.401,3.561,-3.783,-8.333,-12.18,3.688
26,8.482,-31.35,15.52,18.14,-33.22,44.65,-24.43,-28.68,34.02,31.05,25.56,6.689
27,10.27,-57.19,17.38,20.94,-47.74,66.47,-49.3,-43.64,45.41,45.7,47.37,12.75
28,12,-61.19,3.689,8.096,-45.14,57.87,-53.05,-41.32,28.18,32.29,39.9,18.49
29,13.56,-39.01,-6.629,-1.409,-35.31,20.13,-30.98,-31.23,-10.53,-3.633,5.141,20.83
30,14.74,-12.69,-9.032,-2.909,-11.23,-26.64,-4.476,-6.516,-55.85,-48.13,-37.49,18.17
31,15.82,4.646,-3.011,3.921,12.36,-61.87,12.94,17.24,-86.8,-80.43,-70.62,11.16
32,16.93,15.08,2.974,10.58,17.16,-71.99,23.21,21.93,-88.16,-84.24,-79.97,2.462
33,17.86,6.771,-2.599,5.659,5.317,-52.04,14.92,9.878,-62.02,-60.15,-60.11,-4.412
34,18.65,-18.15,-11.26,-2.393,-11.95,-13.36,-10.08,-7.178,-20.5,-19.32,-20.49,-6.825
35,19.42,-39.99,-18.13,-8.813,-35.68,21.04,-32.46,-30.18,17.69,20.04,16.66,-4.333
36,19.97,-49.06,-16.06,-6.285,-53,36.7,-42.22,-47,33.34,38.21,34.98,1.237
37,20.22,-49.31,-8.724,1.565,-50.15,26.6,-43.15,-44.09,16.84,24.56,26.98,6.511
38,20.36,-35.27,-6.926,3.805,-33.21,-6.186,-30.1,-27.62,-21.51,-12.01,-5.063,8.448
39,20.43,-9.772,-10.8,0.2966,-14.71,-47.98,-5.718,-9.534,-63.03,-53.34,-46.16,5.487
40,20.31,9.247,-19.41,-7.971,1.907,-78.47,12.48,7.19,-89.46,-81.32,-75.06,-1.31
41,20.13,14.04,-23.41,-11.73,8.868,-84.58,16.55,14.6,-87.83,-82.13,-79.4,-9.248
42,19.97,7.528,-20.25,-8.5,-2.473,-65.75,9.224,3.797,-59.1,-55.58,-59.01,-15
43,19.7,-9.692,-15.59,-3.783,-22.65,-29.37,-8.689,-16.23,-18.64,-15.93,-22.3,-16.44
44,19.29,-31.8,-13.44,-1.596,-39.87,6.118,-31.54,-33.57,14.08,17.63,13.06,-13.41
45,18.85,-42.3,-17.4,-5.591,-50.32,21.88,-43.12,-44.13,26.03,31.62,29.26,-7.851
