50,-47.96,187,169.1,216.9,170.7,67.61
51,-47.47,164.3,164.5,193.8,171.7,68.72
52,-46.8,138.8,159.5,167.9,172.8,69.53
53,-45.63,110.6,151.6,138.9,171,69.91
54,-44.12,80.68,140.6,107.6,164.8,69.68
55,-42.49,51.82,127.6,76.37,154.2,68.7
56,-40.76,26.6,112.9,48.64,139.4,67.15
57,-38.96,6.198,96.37,27.15,121.1,65.6
58,-37.2,-9.511,78.13,11.84,100.5,64.44
59,-35.6,-20.84,58.77,1.143,78.97,63.57
60,-34.18,-28.19,38.7,-5.844,56.91,62.82
61,-32.9,-32.53,17.47,-10.11,34.06,62.02
62,-31.86,-35.39,-5.164,-13.09,10.54,61.05
63,-31.19,-37.99,-28.32,-15.89,-12.51,59.9
64,-30.69,-40.95,-51.07,-18.97,-34.16,58.73
65,-29.98,-44.53,-73.51,-22.5,-54.7,57.63
66,-28.97,-48.34,-95.84,-26.17,-75.18,56.54
67,-27.81,-51.57,-117.9,-29.15,-96.21,55.35
68,-26.47,-53.72,-139.8,-30.91,-117.4,53.94
69,-24.95,-54.94,-160.6,-31.83,-137.4,52.12
70,-23.44,-55.8,-178,-32.71,-154.8,49.72
71,-21.96,-56.65,-190.5,-33.94,-168.6,46.77
72,-20.25,-57.29,-197.3,-35.29,-177.6,43.43
73,-18.01,-57.32,-198.5,-36.29,-181.4,39.98
74,-15.5,-57.19,-196.1,-37.27,-180.9,36.67
75,-13.82,-58.9,-192.3,-40.08,-177.6,33.66
76,-13.78,-64.42,-188,-46.53,-172.5,30.97
77,-14.65,-73.89,-183.9,-56.65,-166.4,28.61
78,-15.21,-85.86,-179.8,-69.02,-159.8,26.56
79,-15.08,-98.41,-174.3,-81.83,-152.5,24.69
80,-14.48,-110,-167.2,-93.5,-144.3,22.86
81,-13.65,-120.2,-159.2,-103.6,-135.5,21
82,-12.91,-129.8,-151.5,-113.2,-126.8,19.09
83,-12.5,-139.8,-144.7,-123.3,-118.4,17.18
84,-12.31,-150.1,-138.1,-133.7,-109.3,15.34
85,-12.13,-159.5,-130.3,-143.5,-98.39,13.64
86,-11.98,-167.1,-120.7,-151.5,-85.84,12.13
87,-11.92,-171.7,-109.3,-156.7,-72.35,10.81
88,-11.74,-172,-96.66,-157.5,-58.58,9.664
89,-11.3,-166.9,-83.57,-153.3,-45.35,8.736
90,-10.62,-156.9,-70.97,-144.3,-33.54,8.056
91,-9.718,-143.3,-59.87,-131.8,-23.83,7.583
92,-8.636,-127.9,-51.38,-117.4,-16.85,7.163
93,-7.477,-112.2,-45.82,-101.9,-12.71,6.6
94,-6.379,-96.64,-42.67,-85.85,-10.79,5.807
95,-5.492,-81.07,-41.62,-69.8,-10.55,4.864
96,-4.879,-65.71,-42.64,-54.29,-11.79,3.947
97,-4.464,-50.76,-45.09,-39.46,-13.9,3.19
98,-4.153,-35.88,-47.87,-24.8,-15.96,2.617
99,-3.91,-20.52,-50.5,-9.614,-17.67,2.151
100,-3.607,-4.472,-52.92,6.426,-19.11,1.705
101,-3.098,12.09,-54.82,23.14,-20.18,1.279
102,-2.43,28.78,-56.02,40.01,-21.01,0.9587
103,-1.748,45.04,-56.48,56.4,-21.94,0.8358
104,-1.087,60.24,-55.69,71.62,-22.49,0.9869
105,-0.4332,73.83,-52.66,85.02,-21.38,1.487
106,0.1928,85.3,-46.89,96.01,-17.72,2.353
107,0.835,93.94,-38.77,104,-11.51,3.482
108,1.591,99.05,-29.15,108.3,-3.173,4.702
109,2.476,100.5,-18.79,108.9,6.918,5.85
110,3.303,99.03,-8.052,106.7,18.44,6.831
111,3.723,95.96,2.987,103,31,7.64
112,3.587,92.51,14.23,99.12,44.04,8.328
113,3.239,89.27,25.46,95.63,56.82,8.94
114,3.15,85.98,36.54,92.23,68.94,9.506
115,3.43,82.02,47.48,88.25,80.64,10.08
116,3.895,77.11,58.23,83.34,92.28,10.72
117,4.34,71.48,68.62,77.68,103.8,11.45
118,4.617,65.6,78.44,71.64,114.9,12.26
119,4.663,59.8,87.39,65.56,125.1,13.14
120,4.546,54.17,94.91,59.56,133.6,14.09
121,4.372,48.68,100.2,53.64,139.4,15.12
122,4.21,43.4,102.8,47.91,142.2,16.22
123,4.168,38.4,102.3,42.46,141.4,17.35
124,4.396,33.68,98.26,37.28,136.7,18.46
125,4.939,29.5,90.74,32.63,128.4,19.46
126,5.719,26.49,80.69,29.17,117.5,20.3
127,6.621,25.27,69.35,27.57,105.4,20.97
128,7.529,25.99,57.72,28.15,93.11,21.52
129,8.333,28.35,46.49,30.64,81.47,21.99
130,8.973,31.73,35.91,34.31,70.69,22.44
131,9.447,35.51,25.61,38.3,60.3,22.84
