84,-36.04,-3.495,-3.495,37.78
85,-35.83,-2.529,-2.529,37.94
86,-35.15,-1.401,-1.401,38.02
87,-33.86,-0.1566,-0.1566,37.98
88,-31.99,1.227,1.227,37.64
89,-29.67,2.527,2.527,36.87
90,-27.14,3.46,3.46,35.68
91,-24.69,3.934,3.934,34.28
92,-22.57,3.994,3.994,32.98
93,-21.02,3.914,3.914,32.02
94,-20.28,4.09,4.09,31.37
95,-20.3,4.669,4.669,30.75
96,-20.77,5.548,5.548,29.94
97,-21.39,6.505,6.505,29.04
98,-21.97,7.191,7.191,28.4
99,-22.42,7.401,7.401,28.15
100,-22.73,7.266,7.266,28.06
101,-22.93,6.865,6.865,27.83
102,-23.1,6.005,6.005,27.38
103,-23.22,4.582,4.582,26.74
104,-23.21,2.807,2.807,25.86
105,-22.95,0.9658,0.9658,24.7
106,-22.28,-0.7024,-0.7024,23.3
107,-21.14,-1.952,-1.952,21.86
108,-19.69,-2.613,-2.613,20.57
109,-18.26,-2.647,-2.647,19.52
110,-17.21,-2.104,-2.104,18.77
111,-16.73,-1.115,-1.115,18.36
112,-16.79,0.1476,0.1476,18.23
113,-17.11,1.472,1.472,18.27
114,-17.34,2.59,2.59,18.41
115,-17.31,3.332,3.332,18.67
116,-17.14,3.76,3.76,19.07
117,-16.98,4.029,4.029,19.58
118,-16.78,4.261,4.261,20.17
119,-16.36,4.587,4.587,20.79
120,-15.64,5.075,5.075,21.31
121,-14.65,5.621,5.621,21.59
122,-13.52,6.028,6.028,21.55
123,-12.36,6.202,6.202,21.16
124,-11.23,6.197,6.197,20.38
125,-10.2,6.149,6.149,19.3
126,-9.389,6.214,6.214,18.17
127,-8.885,6.482,6.482,17.24
128,-8.747,6.886,6.886,16.71
129,-8.975,7.209,7.209,16.62
130,-9.461,7.238,7.238,16.8
131,-9.984,6.941,6.941,17.02
132,-10.34,6.453,6.453,17.13
133,-10.48,5.89,5.89,17.19
134,-10.53,5.222,5.222,17.27
135,-10.6,4.354,4.354,17.36
136,-10.76,3.254,3.254,17.36
137,-10.93,2.017,2.017,17.19
138,-10.96,0.8455,0.8455,16.82
139,-10.7,-0.03269,-0.03269,16.33
140,-10.17,-0.4456,-0.4456,15.76
141,-9.524,-0.3504,-0.3504,15.11
142,-8.865,0.1641,0.1641,14.44
143,-8.25,0.9433,0.9433,13.83
144,-7.739,1.803,1.803,13.42
145,-7.378,2.551,2.551,13.29
146,-7.166,3.084,3.084,13.5
147,-7.091,3.44,3.44,13.93
148,-7.115,3.69,3.69,14.44
149,-7.143,3.851,3.851,14.89
150,-7.067,3.935,3.935,15.24
151,-6.841,4.013,4.013,15.55
152,-6.484,4.163,4.163,15.87
153,-6.053,4.417,4.417,16.16
154,-5.612,4.725,4.725,16.33
155,-5.198,4.989,4.989,16.25
156,-4.823,5.149,5.149,15.84
157,-4.502,5.237,5.237,15.13
158,-4.233,5.302,5.302,14.24
159,-3.976,5.361,5.361,13.31
160,-3.713,5.387,5.387,12.47
161,-3.491,5.319,5.319,11.86
162,-3.37,5.12,5.12,11.5
163,-3.381,4.817,4.817,11.36
164,-3.522,4.452,4.452,11.34
165,-3.746,4.028,4.028,11.37
166,-3.977,3.541,3.541,11.38
167,-4.155,3.002,3.002,11.3
168,-4.273,2.414,2.414,11.12
169,-4.363,1.785,1.785,10.87
170,-4.452,1.177,1.177,10.56
171,-4.529,0.7098,0.7098,10.22
172,-4.547,0.5129,0.5129,9.832
173,-4.455,0.645,0.645,9.395
174,-4.238,1.045,1.045,8.924
175,-3.922,1.565,1.565,8.455
176,-3.544,2.053,2.053,8.013
177,-3.132,2.426,2.426,7.628
178,-2.711,2.683,2.683,7.337
179,-2.327,2.865,2.865,7.18
180,-2.041,3.003,3.003,7.179
181,-1.894,3.1,3.1,7.325
182,-1.872,3.16,3.16,7.558
183,-1.901,3.208,3.208,7.781
184,-1.893,3.277,3.277,7.916
185,-1.794,3.399,3.399,7.946
186,-1.616,3.591,3.591,7.895
187,-1.433,3.832,3.832,7.775
188,-1.329,4.066,4.066,7.569
189,-1.335,4.222,4.222,7.241
190,-1.399,4.251,4.251,6.782
191,-1.428,4.148,4.148,6.232
192,-1.363,3.949,3.949,5.666
193,-1.214,3.693,3.693,5.156
194,-1.031,3.404,3.404,4.732
195,-0.8715,3.1,3.1,4.392
196,-0.7636,2.79,2.79,4.133
197,-0.7157,2.475,2.475,3.964
198,-0.7335,2.162,2.162,3.888
199,-0.8274,1.852,1.852,3.88
200,-0.9959,1.539,1.539,3.885
201,-1.21,1.23,1.23,3.842
202,-1.422,0.9537,0.9537,3.713
203,-1.588,0.7589,0.7589,3.506
204,-1.688,0.6905,0.6905,3.27
205,-1.721,0.7702,0.7702,3.071
206,-1.697,0.9767,0.9767,2.942
207,-1.616,1.246,1.246,2.86
208,-1.472,1.501,1.501,2.768
209,-1.253,1.687,1.687,2.626
210,-0.9677,1.797,1.797,2.441
211,-0.645,1.859,1.859,2.258
212,-0.3324,1.9,1.9,2.126
213,-0.0766,1.934,1.934,2.073
214,0.09369,1.964,1.964,2.101
215,0.1748,1.997,1.997,2.188
216,0.1834,2.05,2.05,2.305
217,0.1472,2.145,2.145,2.419
218,0.09237,2.287,2.287,2.499
219,0.03233,2.463,2.463,2.517
220,-0.0328,2.631,2.631,2.46
221,-0.1038,2.738,2.738,2.333
