it,2,8,9,4,10,11,5,12,13,7,14,15
21,-12.62,20.4,37.77,35.12,11.39,12.88,3.554,14.05,-22.27,-24.97,-14.32,29.62
22,-10.04,46.27,28.94,27.07,30.69,-22.43,31.73,32.85,-54.68,-58.27,-50.24,24.18
23,-7.526,57.42,9.802,8.765,36.13,-34.1,45.31,38.77,-57.82,-63.77,-60.28,16.91
24,-5.132,40.5,5.53,5.339,31.62,-16.92,30.89,35.29,-32.01,-40.03,-40.52,11.12
25,-2.671,14.77,12.27,12.87,6.055,16.71,7.366,10.7,10.77,1.874,-4.181,9.681
26,-0.2767,-10.42,20.99,22.37,-24.99,53.94,-15.77,-20.49,47.6,40.33,32.92,12.89
27,1.974,-36.82,23.05,25.28,-39.23,75.2,-40.14,-35.19,58.28,54.3,54.14,19.05
28,4.164,-42.51,9.843,12.91,-36.63,66.43,-44.08,-32.88,40.7,40.56,46.44,24.85
29,6.302,-23.52,-0.05115,3.816,-26.8,29.09,-23.61,-22.84,1.949,4.666,11.94,27.23
30,8.287,-0.1758,-2.311,2.399,-3.827,-17.03,1.256,0.7248,-43.25,-39.56,-30.17,24.63
31,10.15,14.37,3.475,9.016,18.09,-51.69,17.28,22.76,-74.27,-71.67,-62.8,17.73
32,12.02,21.67,9.074,15.38,22.18,-61.63,25.82,26.72,-76.29,-75.78,-71.98,9.143
33,13.78,11.16,3.255,10.32,10.13,-42.17,16.51,14.44,-51.44,-52.6,-52.57,2.312
34,15.43,-14.67,-5.666,2.148,-7.403,-4.62,-8.184,-2.893,-11.7,-13.17,-14.01,-0.1788
35,17,-37.73,-13.04,-4.531,-30.6,28.41,-30.36,-25.39,24.52,24.54,21.83,2.085
36,18.48,-48.47,-11.7,-2.521,-47.14,42.81,-40.41,-41.43,38.48,41.29,39,7.298
37,19.79,-50.17,-5.132,4.741,-44.73,31.79,-41.46,-38.93,20.96,26.85,30.24,12.14
38,20.97,-38.36,-3.907,6.632,-28.91,-1.373,-29.19,-23.55,-17.84,-9.897,-1.956,13.65
39,22.1,-16.22,-8.18,2.977,-11.41,-43.09,-6.768,-6.42,-59.57,-51.12,-42.76,10.31
40,23.08,-0.01525,-17.21,-5.461,3.687,-73.52,9.712,8.819,-86.37,-79.06,-71.39,3.196
41,23.96,2.902,-22.02,-9.705,9.015,-80.03,12.88,14.63,-85.67,-80.32,-75.9,-5.036
42,24.79,-5.268,-20.12,-7.323,-2.772,-62.28,4.819,3.43,-58.62,-54.96,-56.3,-11.12
43,25.52,-23.28,-16.8,-3.55,-22.73,-27.72,-13.16,-16.3,-20.35,-17.03,-21.03,-13.02
44,26.11,-45.19,-15.8,-2.119,-40.03,5.52,-35.13,-33.61,10.15,14.69,12.54,-10.58
45,26.62,-56.08,-20.66,-6.581,-50.41,19.24,-46.24,-43.98,20.23,27.11,27.16,-5.738
46,27.03,-51.61,-25.62,-11.19,-50.13,6.848,-42.14,-43.57,4.603,13.94,16.41,-1.419
