84,-4.011,60.03,-551.1,269.6,65.12,277.7,-535.2,-622.5,-610.1,11.15
85,-4.51,32.58,-549.4,320.9,37.11,334.1,-515.1,-606.9,-618.8,6.522
86,-5.057,10.63,-541.1,355.9,14.36,374.9,-488.5,-571.4,-613.3,0.6807
87,-5.41,-23.57,-525.2,347.1,-20.67,372.6,-457.5,-520,-590.9,-6.461
88,-5.236,-62.4,-500.7,292.7,-60.27,324.2,-421,-461.1,-552.8,-14.62
89,-4.635,-80.09,-467.2,217.1,-78.74,253,-381.4,-404.4,-503,-23.2
90,-3.878,-58.9,-427.7,152.9,-58.44,191.6,-343.5,-356.2,-447.4,-31.62
91,-3.085,-10.99,-388.7,123.2,-11.46,163.2,-310.6,-316.9,-393.3,-39.63
92,-2.363,32.25,-356,128.2,31.11,169,-285.4,-284.6,-347.4,-47.16
93,-1.693,48.83,-332.7,147.6,47.68,188.7,-268.6,-257.4,-313.8,-54.07
94,-1.018,42.81,-317.9,159.3,42.11,200.8,-255.7,-235.1,-292.1,-60.17
95,-0.4041,35.37,-307.1,150.3,35.06,192.3,-243.9,-217.5,-277.1,-65.35
96,0.08707,37.49,-296.7,117.8,37.28,160.6,-234.7,-202.2,-262,-69.71
97,0.5475,47.1,-286.1,71.71,46.86,115.5,-227.2,-183.8,-241.5,-73.47
98,1.003,65.58,-276,19.14,65.35,63.33,-219.3,-159.5,-213.7,-76.7
99,1.504,91.16,-266.1,-45.72,91.09,-2.06,-212.5,-133.2,-181.2,-79.14
100,2.241,108.4,-255.6,-125.1,108.8,-83.29,-208.3,-109.2,-149,-80.44
101,3.346,104.6,-242.2,-211.1,105.7,-173.2,-201.8,-85.89,-120.4,-80.34
102,4.707,78.05,-221.2,-300.6,79.95,-268.7,-185.3,-60.5,-94.48,-78.55
103,6.221,26.15,-187.4,-386.3,28.96,-362.8,-155.1,-34.63,-67.55,-74.94
104,7.848,-48.65,-139.5,-441.7,-44.97,-428.3,-112.3,-9.868,-36.41,-69.74
105,9.413,-125.8,-79.98,-443,-121.4,-440.4,-58.74,16.99,-0.09834,-63.46
106,10.75,-178.9,-13.74,-392.7,-173.9,-400.2,3.003,51.22,41.1,-56.67
107,11.95,-194,53.09,-310.6,-188.7,-326.4,68.23,95.4,86.49,-50.04
108,13.16,-173.6,115.1,-227.1,-167.8,-248.6,131.2,147,134.6,-44.33
109,14.43,-135.9,169.8,-173.3,-129.7,-197.7,187.6,198.7,182.8,-40.08
110,15.52,-107,217.6,-154.5,-100.7,-179.7,236.2,243.7,227.9,-37.36
111,16.12,-102.6,260.2,-151.5,-96.06,-176.5,277.9,279.5,267.4,-35.75
112,16.17,-119.4,299,-147.5,-112.6,-172.2,315.1,307,300,-34.47
